question_id,description,knowledge_component_official
1,"请计算两个整数的和并输出结果。注意不要有不必要的输出，比如""请输入 a 和 b 的值: ""。","{string, big integer}"
10,"给定当前的时间，请用英文的读法将它读出来。时间用时h和分m表示，在英文的读法中，读一个时间的方法是：如果m为0，则将时读出来，然后加上“o'clock”，如3:00读作“three o'clock”。如果m不为0，则将时读出来，然后将分读出来，如5:30读作“five thirty”。时和分的读法使用的是英文数字的读法，其中0~20读作：0:zero, 1: one, 2:two, 3:three, 4:four, 5:five, 6:six, 7:seven, 8:eight, 9:nine, 10:ten, 11:eleven, 12:twelve, 13:thirteen, 14:fourteen, 15:fifteen, 16:sixteen, 17:seventeen, 18:eighteen, 19:nineteen, 20:twenty。30读作thirty，40读作forty，50读作fifty。对于大于20小于60的数字，首先读整十的数，然后再加上个位数。如31首先读30再加1的读法，读作“thirty one”。按上面的规则21:54读作“twenty one fifty four”，9:07读作“nine seven”，0:15读作“zero fifteen”。","{array, string}"
100,"有N行M列的地图，左上角坐标为（1,1），右下角坐标为（n,m），每个格子可以是空地或墙，空地可以走，问能否从（1,1）到达（n,m）",{search}
102,输入n个数，将它们从小到大排序输出,{sort}
104,"已知二叉树的先序遍历的字符串如abd##e#f##cg###,#代表空节点，求二叉树的中序和后序遍历",{tree}
105,已知先序遍历序列和中序遍历序列，求二叉树的后序遍历和层序遍历序列,{tree}
11,"求出区间[a,b]中所有整数的质因数分解。","{primenumber, number theory}"
12,输入两个整数a和b，输出这两个整数的和。a和b都不超过100位。算法描述由于a和b都比较大，所以不能直接使用语言中的标准数据类型来存储。对于这种问题，一般使用数组来处理。定义一个数组A，A[0]用于存储a的个位，A[1]用于存储a的十位，依此类推。同样可以用一个数组B来存储b。计算c = a + b的时候，首先将A[0]与B[0]相加，如果有进位产生，则把进位（即和的十位数）存入r，把和的个位数存入C[0]，即C[0]等于(A[0]+B[0])%10。然后计算A[1]与B[1]相加，这时还应将低位进上来的值r也加起来，即C[1]应该是A[1]、B[1]和r三个数的和．如果又有进位产生，则仍可将新的进位存入到r中，和的个位存到C[1]中。依此类推，即可求出C的所有位。最后将C输出即可。,"{array, big integer}"
128,输入某年某月某日，判断这几一天是这一年的第几天？,{if statement}
129,"给定两个数m和n，求m和n之间的素数个数（包括m,n）,试编写相应程序。","{number theory, loop statement}"
13,话说这个世界上有各种各样的兔子和乌龟，但是 研究发现，所有的兔子和乌龟都有一个共同的特点——喜欢赛跑。于是世界上各个角落都不断在发生着乌龟和兔子的比赛，小华对此很感兴趣，于是决定研究不同兔 子和乌龟的赛跑。他发现，兔子虽然跑比乌龟快，但它们有众所周知的毛病——骄傲且懒惰，于是在与乌龟的比赛中，一旦任一秒结束后兔子发现自己领先t米或以 上，它们就会停下来休息s秒。对于不同的兔子，t，s的数值是不同的，但是所有的乌龟却是一致——它们不到终点决不停止。然而有些比赛相当漫长，全程观看会耗费大量时间，而小华发现只要在每场比赛开始后记录下兔子和乌龟的数据——兔子的速度v1（表示每秒兔子能跑v1 米），乌龟的速度v2，以及兔子对应的t，s值，以及赛道的长度l——就能预测出比赛的结果。但是小华很懒，不想通过手工计算推测出比赛的结果，于是他找 到了你——华东师范大学某系的高材生——请求帮助，请你写一个程序，对于输入的一场比赛的数据v1，v2，t，s，l，预测该场比赛的结果。,{simulation}
130,本题要求编写程序，将给定n×n方阵中的每个元素循环向右移m个位置，即将第0、1、⋯、n−1列变换为第n−m、n−m+1、⋯、n−1、0、1、⋯、n−m−1列。,"{array, loop statement}"
132,给定一个n×n的方阵，本题要求计算该矩阵除副对角线、最后一列和最后一行以外的所有元素之和。副对角线为从矩阵的右上角至左下角的连线。,"{array, if statement, loop statement}"
136,按照规定，在高速公路上行使的机动车，达到或超出本车道限速的10%则处200元罚款；若达到或超出50%，就要吊销驾驶证。请编写程序根据车速和限速自动判别对该机动车的处理,"{string, branch}"
16,观察数字：12321，123321 都有一个共同的特征，无论从左到右读还是从右向左读，都是相同的。这样的数字叫做：回文数字。本题要求你找到一些5位或6位的十进制数字。满足如下要求：该数字的各个数位之和等于输入的整数。,"{enumeration, mathematics}"
17,输入一个正整数n，输出n!的值。其中n!=123…n。算法描述n!可能很大，而计算机能表示的整数范围有限，需要使用高精度计算的方法。使用一个数组A来表示一个大整数a，A[0]表示a的个位，A[1]表示a的十位，依次类推。将a乘以一个整数k变为将数组A的每一个元素都乘以k，请注意处理相应的进位。首先将a设为1，然后乘2，乘3，当乘到n时，即得到了n!的值。,"{array, mathematics, big integer}"
18,平面上有两个矩形，它们的边平行于直角坐标系的X轴或Y轴。对于每个矩形，我们给出它的一对相对顶点的坐标，请你编程算出两个矩形的交的面积。,{mathematics}
189,为提倡居民节约用电，某省电力公司执行“阶梯电价”，安装一户一表的居民用户电价分为两个“阶梯”：月用电量50千瓦时（含50千瓦时）以内的，电价为0.53元/千瓦时；超过50千瓦时的，超出部分的用电量电价上调0.05元/千瓦时。输入用户的月用电量（千瓦时），计算并输出改用户应支付的电费（元）。试着编写相应程序。,{if statement}
19,如下图所示，3 x 3 的格子中填写了一些整数。我们沿着图中的星号线剪开，得到两个部分，每个部分的数字和都是60。本题的要求就是请你编程判定：对给定的m x n 的格子中的整数，是否可以分割为两个部分，使得这两个区域的数字和相等。如果存在多种解答，请输出包含左上角格子的那个区域包含的格子的最小数目。如果无法分割，则输出 0。,{depth-first search}
193,输入一个正整数n，求e=1!+2!+3!+……+n!，要求定义调用函数fact(n) 计算n!，函数类型是double。是编写想用的程序。,{loop statement}
20,给定一个N阶矩阵A，输出A的M次幂（M是非负整数）例如：A =1 23 4A的2次幂7 1015 22,"{matrix, mathematics, binary exponentiation, loop statement}"
203,某城市普通出租车收费标准如下：起步里程为3公里，起步费10元，超出起步时:  3公里以上10公里以内的部分(包含十公里)，每公里2元；超过10公里以上的部分加收50%的空驶补贴费，即每公里3元；运营过程中，因路阻及乘客要求临时停车的，每5分钟2元计收(不足五分钟则不收费）。运价计费位数四舍五入，保留到元。编写程序，输入行驶路程（公里）与等待时间（分钟），计算并输出乘客应支付费用（元）。,{if statement}
