knowledge_component_id,knowledge_component_name
0,string
1,two pointers
2,bit manipulation
3,prefix sum
4,hash function
5,rolling hash
6,database
7,array
8,tree array
9,linked list
10,doubly-linked list
11,hash table
12,tree
13,binary tree
14,trie
15,segment tree
16,binary search tree
17,heap
18,stack
19,monotonic stack
20,queue
21,monotonic queue
22,graph
23,union find
24,ordered set
25,recursion
26,enumeration
27,divide and conquer
28,binary search
29,topological sort
30,merge sort
31,counting sort
32,bucket sort
33,dynamic programming
34,memoization search
35,greedy
36,backtracking
37,depth-first search
38,breadth-first search
39,sliding window
40,state compression
41,string matching
42,shortest path
43,minimum spanning tree
44,design
45,simulation
